"entry","species","logratio","sample1means","sample2means"
"1/tr|C8ZBM2|C8ZBM2_YEAS8","YEAST",NA,25291.5993523541,NA
"1/tr|C8ZBT6|C8ZBT6_YEAS8","YEAST",NA,100402.706504796,NA
"1/tr|C8ZCK0|C8ZCK0_YEAS8","YEAST",NA,80988.2687271922,NA
"1/tr|C8ZDA3|C8ZDA3_YEAS8","YEAST",NA,68307.8979878518,NA
"1/tr|C8ZDH0|C8ZDH0_YEAS8","YEAST",NA,50244.6957200648,NA
"1/tr|C8ZDJ5|C8ZDJ5_YEAS8","YEAST",NA,99086.7333976984,NA
"1/tr|C8ZDZ8|C8ZDZ8_YEAS8","YEAST",NA,64807.6477692328,NA
"1/tr|C8ZF34|C8ZF34_YEAS8","YEAST",NA,43190.557965651,NA
"1/tr|C8ZF37|C8ZF37_YEAS8","YEAST",NA,5519.17633892506,NA
"1/tr|C8ZF53|C8ZF53_YEAS8","YEAST",NA,55346.279065858,NA
"1/tr|C8ZFH0|C8ZFH0_YEAS8","YEAST",NA,47432.5218945949,NA
"1/tr|C8ZFR6|C8ZFR6_YEAS8","YEAST",NA,87981.0473693296,NA
"1/tr|C8ZG03|C8ZG03_YEAS8","YEAST",NA,73023.5128984193,NA
"1/tr|C8ZGX6|C8ZGX6_YEAS8","YEAST",NA,60582.2003963281,NA
"1/tr|C8ZHK4|C8ZHK4_YEAS8","YEAST",NA,186153.071070364,NA
"1/tr|C8ZI60|C8ZI60_YEAS8","YEAST",NA,170482.629605377,NA
"1/tr|C8ZI78|C8ZI78_YEAS8","YEAST",NA,57381.0977753036,NA
"1/tr|C8ZII8|C8ZII8_YEAS8","YEAST",NA,80751.6007096138,NA
"1/tr|C8ZIU6|C8ZIU6_YEAS8","YEAST",NA,73205.7109162223,NA
"1/tr|D3UEI2|D3UEI2_YEAS8","YEAST",NA,59569.458457537,NA
"1/tr|D3UET6|D3UET6_YEAS8","YEAST",NA,41022.0850073239,NA
"1/tr|D3UF52|D3UF52_YEAS8","YEAST",NA,111943.957258258,NA
"2/tr|C8Z4T0|C8Z4T0_YEAS8/tr|C8ZFU7|C8ZFU7_YEAS8","YEAST",NA,111902.55248637,NA
"2/tr|C8ZGH9|C8ZGH9_YEAS8/tr|C8ZAD6|C8ZAD6_YEAS8","YEAST",NA,116915.969103556,NA
"3/tr|C8Z570|C8Z570_YEAS8/tr|C8Z5L5|C8Z5L5_YEAS8/tr|C8ZEC7|C8ZEC7_YEAS8","YEAST",NA,642749.899316269,NA
"1/sp|P00547|KHSE_ECOLI","ECOLI",NA,NA,81681.6990573647
"1/sp|P05020|PYRC_ECOLI","ECOLI",NA,NA,162012.829701736
"1/sp|P05791|ILVD_ECOLI","ECOLI",NA,NA,51503.4718644033
"1/sp|P06987|HIS7_ECOLI","ECOLI",NA,NA,80255.3321614285
"1/sp|P09394|GLPQ_ECOLI","ECOLI",NA,NA,144345.310399452
"1/sp|P0A761|NANE_ECOLI","ECOLI",NA,NA,171963.739972625
"1/sp|P0A8D0|NRDR_ECOLI","ECOLI",NA,NA,125894.850337064
"1/sp|P0A8T1|PRMA_ECOLI","ECOLI",NA,NA,60099.9699268067
"1/sp|P0A8Y5|YIDA_ECOLI","ECOLI",NA,NA,80332.5408414312
"1/sp|P0A9D4|CYSE_ECOLI","ECOLI",NA,NA,94687.5413180563
"1/sp|P0A9S1|FUCO_ECOLI","ECOLI",NA,NA,119842.128655059
"1/sp|P0AA43|RSUA_ECOLI","ECOLI",NA,NA,143381.110819985
"1/sp|P0ACA7|GSTB_ECOLI","ECOLI",NA,NA,184270.57161364
"1/sp|P0ACQ4|OXYR_ECOLI","ECOLI",NA,NA,64392.3089031533
"1/sp|P0ADV1|LPTA_ECOLI","ECOLI",NA,NA,103570.611665724
"1/sp|P0ADZ0|RL23_ECOLI","ECOLI",NA,NA,188724.544665148
"1/sp|P0AE22|APHA_ECOLI","ECOLI",NA,NA,62750.9356786118
"1/sp|P0AF98|LPTF_ECOLI","ECOLI",NA,NA,65946.3027098182
"1/sp|P0AFY8|SEQA_ECOLI","ECOLI",NA,NA,114634.79340664
"1/sp|P0AG07|RPE_ECOLI","ECOLI",NA,NA,201123.870631917
"1/sp|P0AG82|PSTS_ECOLI","ECOLI",NA,NA,74057.8549107606
"1/sp|P17445|BETB_ECOLI","ECOLI",NA,NA,50258.3383448835
"1/sp|P17952|MURC_ECOLI","ECOLI",NA,NA,66897.6860714771
"1/sp|P24255|RP54_ECOLI","ECOLI",NA,NA,30076.6345891777
"1/sp|P25745|MNMA_ECOLI","ECOLI",NA,NA,49530.8371767814
"1/sp|P25894|LOIP_ECOLI","ECOLI",NA,NA,82516.0942968573
"1/sp|P28861|FENR_ECOLI","ECOLI",NA,NA,97383.3256747588
"1/sp|P29217|YCEH_ECOLI","ECOLI",NA,NA,106468.500075385
"1/sp|P30011|NADC_ECOLI","ECOLI",NA,NA,39263.0176287736
"1/sp|P30139|THIG_ECOLI","ECOLI",NA,NA,92553.6414614095
"1/sp|P30863|DKGB_ECOLI","ECOLI",NA,NA,51574.9872881767
"1/sp|P30864|YAFC_ECOLI","ECOLI",NA,NA,29161.0825820468
"1/sp|P37645|YHJG_ECOLI","ECOLI",NA,NA,82627.0549658696
"1/sp|P37760|RMLD_ECOLI","ECOLI",NA,NA,78445.0859462745
"1/sp|P39286|RSGA_ECOLI","ECOLI",NA,NA,60924.3735506693
"1/sp|P39406|RSMC_ECOLI","ECOLI",NA,NA,98277.1465289086
"1/sp|P42641|OBG_ECOLI","ECOLI",NA,NA,115338.947447664
"1/sp|P52007|YECM_ECOLI","ECOLI",NA,NA,42174.2412033002
"1/sp|P64429|YPFJ_ECOLI","ECOLI",NA,NA,31873.8842149554
"1/sp|P66948|YFGC_ECOLI","ECOLI",NA,NA,61317.6280910894
"1/sp|P69874|POTA_ECOLI","ECOLI",NA,NA,115677.687762675
"1/sp|P75849|YCBL_ECOLI","ECOLI",NA,NA,101141.266388768
"1/sp|P76097|YDCJ_ECOLI","ECOLI",NA,NA,96279.2147340703
"1/sp|P76268|KDGR_ECOLI","ECOLI",NA,NA,141368.713968944
"1/sp|P76417|YEGT_ECOLI","ECOLI",NA,NA,111954.063933001
"1/sp|P77522|SUFB_ECOLI","ECOLI",NA,NA,60264.515604328
"1/sp|Q46814|XDHD_ECOLI","ECOLI",NA,NA,42335.5139731996
