"id"	"species"	"A"	"B"
"1/sp|Q14376|GALE_HUMAN"	"HUMAN"	111234.537995161	127858.008549923
"1/sp|Q15126|PMVK_HUMAN"	"HUMAN"	131199.981308575	114043.622122637
"1/sp|Q15404|RSU1_HUMAN"	"HUMAN"	150992.040501783	137456.92434513
"1/sp|Q16543|CDC37_HUMAN"	"HUMAN"	368800.260193401	391108.811488838
"1/sp|Q16822|PCKGM_HUMAN"	"HUMAN"	294530.873313936	253560.735324239
"1/sp|Q16836|HCDH_HUMAN"	"HUMAN"	1051153.14462271	1040698.6008697
"1/sp|Q16851|UGPA_HUMAN"	"HUMAN"	130117.431560491	124349.960798882
"1/sp|Q29RF7|PDS5A_HUMAN"	"HUMAN"	115211.423411662	114280.800346442
"1/sp|Q6ZRP7|QSOX2_HUMAN"	"HUMAN"	59871.275385819	61350.2199150084
"1/sp|Q7L2H7|EIF3M_HUMAN"	"HUMAN"	276384.994125971	260775.126445232
"1/sp|Q7Z2K6|ERMP1_HUMAN"	"HUMAN"	126321.767325676	128809.846074409
"1/sp|Q7Z6Z7|HUWE1_HUMAN"	"HUMAN"	272059.060112277	258387.213022288
"1/sp|Q8NCA5|FA98A_HUMAN"	"HUMAN"	98680.6401450431	NA
"1/sp|Q8NFH4|NUP37_HUMAN"	"HUMAN"	NA	107287.782069593
"1/sp|Q8TDN6|BRX1_HUMAN"	"HUMAN"	324177.85850189	292265.212265079
"1/sp|Q8WW12|PCNP_HUMAN"	"HUMAN"	264406.170901008	252419.192941872
"1/sp|Q8WX93|PALLD_HUMAN"	"HUMAN"	187974.164409416	177939.94827423
"1/sp|Q92598|HS105_HUMAN"	"HUMAN"	371099.078620443	343863.040511334
"1/sp|Q92688|AN32B_HUMAN"	"HUMAN"	1665378.55265034	1567176.1053671
"1/sp|Q92882|OSTF1_HUMAN"	"HUMAN"	NA	55151.2958328095
"1/sp|Q92890|UFD1_HUMAN"	"HUMAN"	186386.515374346	177588.880589798
"1/sp|Q96C86|DCPS_HUMAN"	"HUMAN"	NA	117195.048648559
"1/sp|Q96CW1|AP2M1_HUMAN"	"HUMAN"	254339.844117137	247173.345930461
"1/sp|Q96HE7|ERO1A_HUMAN"	"HUMAN"	245415.777274783	232976.830794396
"1/sp|Q96JJ7|TMX3_HUMAN"	"HUMAN"	74666.9387343251	117866.834691605
"1/sp|Q99436|PSB7_HUMAN"	"HUMAN"	598023.91598237	580849.283280521
"1/sp|Q99471|PFD5_HUMAN"	"HUMAN"	216506.879844693	199208.54521766
"1/sp|Q99567|NUP88_HUMAN"	"HUMAN"	213382.197253404	176282.576965275
"1/sp|Q99598|TSNAX_HUMAN"	"HUMAN"	73959.0953365179	71285.4099172329
"1/sp|Q99848|EBP2_HUMAN"	"HUMAN"	506489.84926279	489108.877982683
"1/sp|Q9BPW8|NIPS1_HUMAN"	"HUMAN"	302498.041613566	261440.592198278
"1/sp|Q9BQ67|GRWD1_HUMAN"	"HUMAN"	305099.20734039	298367.511787004
"1/sp|Q9BQG0|MBB1A_HUMAN"	"HUMAN"	496932.981101068	450591.922150413
"1/sp|Q9BR76|COR1B_HUMAN"	"HUMAN"	184562.317080241	193831.294240627
"1/sp|Q9BRA2|TXD17_HUMAN"	"HUMAN"	303277.909915005	303120.654404265
"1/sp|Q9BVC6|TM109_HUMAN"	"HUMAN"	550060.115229707	605071.031749192
"1/sp|Q9BXJ9|NAA15_HUMAN"	"HUMAN"	345153.380678619	369153.559398915
"1/sp|Q9BYD3|RM04_HUMAN"	"HUMAN"	137769.616052521	142324.069951527
"1/sp|Q9BZE1|RM37_HUMAN"	"HUMAN"	101875.298919112	118152.639010196
"1/sp|Q9HD33|RM47_HUMAN"	"HUMAN"	94001.8919486684	112784.552565925
"1/sp|Q9NRX4|PHP14_HUMAN"	"HUMAN"	110498.868293539	98183.6002297962
"1/sp|Q9NTK5|OLA1_HUMAN"	"HUMAN"	505934.491611434	471415.174767049
"1/sp|Q9NTM9|CUTC_HUMAN"	"HUMAN"	197976.823337381	179711.79964977
"1/sp|Q9NTZ6|RBM12_HUMAN"	"HUMAN"	116516.75971265	127669.262111935
"1/sp|Q9NZT2|OGFR_HUMAN"	"HUMAN"	127354.774521639	127233.490138737
"1/sp|Q9UBI6|GBG12_HUMAN"	"HUMAN"	241115.571565955	224572.820819709
"1/sp|Q9UBM7|DHCR7_HUMAN"	"HUMAN"	363441.685744005	359093.009518108
"1/sp|Q9UBX3|DIC_HUMAN"	"HUMAN"	272339.565221252	262100.621700561
"1/sp|Q9UI30|TR112_HUMAN"	"HUMAN"	380581.6174563	370541.827139453
"1/sp|Q9UKD2|MRT4_HUMAN"	"HUMAN"	336721.846308256	361004.903766689
"1/sp|Q9UKS6|PACN3_HUMAN"	"HUMAN"	211542.118224546	185500.960573773
"1/sp|Q9Y230|RUVB2_HUMAN"	"HUMAN"	997451.792465368	968111.135126028
"1/sp|Q9Y262|EIF3L_HUMAN"	"HUMAN"	299018.207937499	278880.068953484
"1/sp|Q9Y266|NUDC_HUMAN"	"HUMAN"	622806.637487927	668388.202080944
"1/sp|Q9Y2S7|PDIP2_HUMAN"	"HUMAN"	149324.574809321	134389.46020714
"1/sp|Q9Y2X3|NOP58_HUMAN"	"HUMAN"	441422.206886669	406557.143306841
"1/sp|Q9Y3U8|RL36_HUMAN"	"HUMAN"	2640168.81680965	2426103.91476079
"1/sp|Q9Y617|SERC_HUMAN"	"HUMAN"	1613625.8235133	1502938.22104131
"2/sp|P05388|RLA0_HUMAN/sp|Q8NHW5|RLA0L_HUMAN"	"HUMAN"	2680534.94108702	2641079.79668665
"2/sp|P31153|METK2_HUMAN/sp|Q00266|METK1_HUMAN"	"HUMAN"	NA	487719.09817314
"2/sp|P46439|GSTM5_HUMAN/sp|P09488|GSTM1_HUMAN"	"HUMAN"	162432.873143957	166120.686767865
"2/sp|P47985|UCRI_HUMAN/sp|P0C7P4|UCRIL_HUMAN"	"HUMAN"	220169.632338299	209354.736796652
"2/sp|P49448|DHE4_HUMAN/sp|P00367|DHE3_HUMAN"	"HUMAN"	644168.138998684	581705.279569439
"2/sp|P54727|RD23B_HUMAN/sp|P54725|RD23A_HUMAN"	"HUMAN"	246513.004374979	323520.800442481
"2/sp|P62714|PP2AB_HUMAN/sp|P67775|PP2AA_HUMAN"	"HUMAN"	538308.055706573	504958.006672986
"2/sp|P62879|GBB2_HUMAN/sp|P62873|GBB1_HUMAN"	"HUMAN"	390635.029987566	350403.34168235
"2/sp|P67936|TPM4_HUMAN/sp|P07951|TPM2_HUMAN"	"HUMAN"	770699.487160988	909169.493300581
"2/sp|Q15560|TCEA2_HUMAN/sp|P23193|TCEA1_HUMAN"	"HUMAN"	230090.657959994	209131.997223943
"2/sp|Q8IYD1|ERF3B_HUMAN/sp|P15170|ERF3A_HUMAN"	"HUMAN"	277794.075520891	213080.514644347
"2/sp|Q9UHD9|UBQL2_HUMAN/sp|Q9UMX0|UBQL1_HUMAN"	"HUMAN"	189740.56394328	179607.921530963
"2/sp|Q9ULD0|OGDHL_HUMAN/sp|Q02218|ODO1_HUMAN"	"HUMAN"	421539.819182234	425951.765405115
"3/sp|P24844|MYL9_HUMAN/sp|O14950|ML12B_HUMAN/sp|P19105|ML12A_HUMAN"	"HUMAN"	778872.321286214	744278.862662777
"3/sp|P35241|RADI_HUMAN/sp|P26038|MOES_HUMAN/sp|P15311|EZRI_HUMAN"	"HUMAN"	4493701.75715243	4369666.44467822
"3/sp|P68371|TBB4B_HUMAN/sp|Q9BVA1|TBB2B_HUMAN/sp|Q13885|TBB2A_HUMAN"	"HUMAN"	1075012.08643551	977672.267698479
"3/sp|Q8TDI0|CHD5_HUMAN/sp|Q14839|CHD4_HUMAN/sp|Q12873|CHD3_HUMAN"	"HUMAN"	201211.45919352	194327.880245201
"4/sp|O43707|ACTN4_HUMAN/sp|Q08043|ACTN3_HUMAN/sp|P35609|ACTN2_HUMAN/sp|P12814|ACTN1_HUMAN"	"HUMAN"	1458897.83909259	1505137.59543423
"7/sp|P0CG39|POTEJ_HUMAN/sp|P0CG38|POTEI_HUMAN/sp|A5A3E0|POTEF_HUMAN/sp|Q6S8J3|POTEE_HUMAN/sp|P63261|ACTG_HUMAN/sp|P60709|ACTB_HUMAN/sp|Q9BYX7|ACTBM_HUMAN"	"HUMAN"	8984688.59709376	8686751.60798403
"9/sp|Q3ZCM7|TBB8_HUMAN/sp|A6NNZ2|TBB8L_HUMAN/sp|Q9BUF5|TBB6_HUMAN/sp|P07437|TBB5_HUMAN/sp|P68371|TBB4B_HUMAN/sp|P04350|TBB4A_HUMAN/sp|Q13509|TBB3_HUMAN/sp|Q9BVA1|TBB2B_HUMAN/sp|Q13885|TBB2A_HUMAN"	"HUMAN"	2161405.00200105	2096029.69333606
"1/sp|C8ZDR4|HRI1_YEAS8"	"YEAST"	297107.481656152	135380.601183364
"1/tr|C8Z3I1|C8Z3I1_YEAS8"	"YEAST"	243736.820993385	93301.6842983985
"1/tr|C8Z3L4|C8Z3L4_YEAS8"	"YEAST"	257147.94009504	87412.4459679129
"1/tr|C8Z3M9|C8Z3M9_YEAS8"	"YEAST"	301898.709286897	109017.557092411
"1/tr|C8Z3Q6|C8Z3Q6_YEAS8"	"YEAST"	275386.074665828	143154.232383029
"1/tr|C8Z3Z0|C8Z3Z0_YEAS8"	"YEAST"	67105.0082026345	NA
"1/tr|C8Z402|C8Z402_YEAS8"	"YEAST"	91124.5234051289	NA
"1/tr|C8Z409|C8Z409_YEAS8"	"YEAST"	54984.3497995597	NA
"1/tr|C8Z419|C8Z419_YEAS8"	"YEAST"	1721506.32969135	804664.203020172
"1/tr|C8Z423|C8Z423_YEAS8"	"YEAST"	109026.814345487	54702.1560938897
"1/tr|C8Z439|C8Z439_YEAS8"	"YEAST"	358648.852340686	161836.524680879
"1/tr|C8Z454|C8Z454_YEAS8"	"YEAST"	972053.176373177	459450.047833854
"1/tr|C8Z470|C8Z470_YEAS8"	"YEAST"	308989.053296984	128863.037584525
"1/tr|C8Z4E5|C8Z4E5_YEAS8"	"YEAST"	746230.789243109	357175.854745736
"1/tr|C8Z4H1|C8Z4H1_YEAS8"	"YEAST"	131528.397538117	69638.5574935873
"1/tr|C8Z4U3|C8Z4U3_YEAS8"	"YEAST"	675786.33220825	288366.320662064
"1/tr|C8Z5E5|C8Z5E5_YEAS8"	"YEAST"	108613.407405238	51154.8011518297
"1/tr|C8Z5L5|C8Z5L5_YEAS8"	"YEAST"	131072.171346464	NA
"1/tr|C8Z5U9|C8Z5U9_YEAS8"	"YEAST"	11051039.9134383	5016363.78937649
"1/tr|C8Z5Y0|C8Z5Y0_YEAS8"	"YEAST"	3535838.80981266	1594860.72291839
"1/tr|C8Z6D5|C8Z6D5_YEAS8"	"YEAST"	1022958.07395736	451425.437434216
"1/tr|C8Z6F5|C8Z6F5_YEAS8"	"YEAST"	289347.636913057	132154.087477664
"1/tr|C8Z6H1|C8Z6H1_YEAS8"	"YEAST"	39535.3701035091	21714.1793359235
"1/tr|C8Z6H9|C8Z6H9_YEAS8"	"YEAST"	1045323.98059835	405196.507426646
"1/tr|C8Z6K7|C8Z6K7_YEAS8"	"YEAST"	253738.995517176	98753.1626193642
"1/tr|C8Z6Q4|C8Z6Q4_YEAS8"	"YEAST"	163587.597832708	NA
"1/tr|C8Z6U2|C8Z6U2_YEAS8"	"YEAST"	238729.388994427	108543.999494732
"1/tr|C8Z6U7|C8Z6U7_YEAS8"	"YEAST"	765551.492981918	450457.120885211
"1/tr|C8Z6X1|C8Z6X1_YEAS8"	"YEAST"	318770.503691326	182875.240697619
"1/tr|C8Z7A8|C8Z7A8_YEAS8"	"YEAST"	1044839.81909968	483058.894867246
"1/tr|C8Z7B3|C8Z7B3_YEAS8"	"YEAST"	173148.494670871	NA
"1/tr|C8Z7T9|C8Z7T9_YEAS8"	"YEAST"	104477.202990896	42998.5488132535
"1/tr|C8Z7V9|C8Z7V9_YEAS8"	"YEAST"	100714.444378946	48271.6194448183
"1/tr|C8Z7X9|C8Z7X9_YEAS8"	"YEAST"	1011041.01088748	499931.946843409
"1/tr|C8Z7Y7|C8Z7Y7_YEAS8"	"YEAST"	86353.476687031	38176.6669030674
"1/tr|C8Z865|C8Z865_YEAS8"	"YEAST"	177830.767876307	79411.7926338209
"1/tr|C8Z8A2|C8Z8A2_YEAS8"	"YEAST"	268605.157957085	122703.197567244
"1/tr|C8Z8E8|C8Z8E8_YEAS8"	"YEAST"	112309.054257731	53302.2352329014
"1/tr|C8Z8F1|C8Z8F1_YEAS8"	"YEAST"	110978.179915564	NA
"1/tr|C8Z8S7|C8Z8S7_YEAS8"	"YEAST"	164461.920114654	NA
"1/tr|C8Z8T3|C8Z8T3_YEAS8"	"YEAST"	345058.836607607	170851.244613622
"1/tr|C8Z9Q4|C8Z9Q4_YEAS8"	"YEAST"	61597.1062465186	NA
"1/tr|C8Z9Q6|C8Z9Q6_YEAS8"	"YEAST"	53608.5271614704	15242.1025846211
"1/tr|C8Z9X5|C8Z9X5_YEAS8"	"YEAST"	635751.716651466	325675.19085308
"1/tr|C8ZA01|C8ZA01_YEAS8"	"YEAST"	301960.799851072	129060.329797535
"1/tr|C8ZA32|C8ZA32_YEAS8"	"YEAST"	75218.752593307	44225.4037858207
"1/tr|C8ZAC8|C8ZAC8_YEAS8"	"YEAST"	317001.812087032	147871.278653716
"1/tr|C8ZAD7|C8ZAD7_YEAS8"	"YEAST"	98745.5507842712	51834.4407206211
"1/tr|C8ZAT7|C8ZAT7_YEAS8"	"YEAST"	79795.2472366748	NA
"1/tr|C8ZB41|C8ZB41_YEAS8"	"YEAST"	65455.6637788776	NA
"1/tr|C8ZBE5|C8ZBE5_YEAS8"	"YEAST"	129654.603037312	87806.6911501175
"1/tr|C8ZBM2|C8ZBM2_YEAS8"	"YEAST"	25291.5993523541	NA
"1/tr|C8ZBQ7|C8ZBQ7_YEAS8"	"YEAST"	554510.169857614	361818.550243416
"1/tr|C8ZBS1|C8ZBS1_YEAS8"	"YEAST"	4238502.51666962	1879692.63545997
"1/tr|C8ZBT6|C8ZBT6_YEAS8"	"YEAST"	100402.706504796	NA
"1/tr|C8ZC29|C8ZC29_YEAS8"	"YEAST"	301252.141987767	201281.986309218
"1/tr|C8ZC71|C8ZC71_YEAS8"	"YEAST"	426621.900220338	213320.970176489
"1/tr|C8ZC79|C8ZC79_YEAS8"	"YEAST"	427292.123993933	166723.894880099
"1/tr|C8ZCK0|C8ZCK0_YEAS8"	"YEAST"	80988.2687271922	NA
"1/tr|C8ZCS7|C8ZCS7_YEAS8"	"YEAST"	106868.252053687	51046.4673525367
"1/tr|C8ZCZ9|C8ZCZ9_YEAS8"	"YEAST"	490223.310291045	264140.377727586
"1/tr|C8ZDA3|C8ZDA3_YEAS8"	"YEAST"	68307.8979878518	NA
"1/tr|C8ZDH0|C8ZDH0_YEAS8"	"YEAST"	50244.6957200648	NA
"1/tr|C8ZDJ5|C8ZDJ5_YEAS8"	"YEAST"	99086.7333976984	NA
"1/tr|C8ZDZ8|C8ZDZ8_YEAS8"	"YEAST"	64807.6477692328	NA
"1/tr|C8ZED0|C8ZED0_YEAS8"	"YEAST"	193357.440629569	67533.9581868678
"1/tr|C8ZEH6|C8ZEH6_YEAS8"	"YEAST"	6145563.94857382	2579109.81798675
"1/tr|C8ZEK3|C8ZEK3_YEAS8"	"YEAST"	288913.355878807	122824.763958896
"1/tr|C8ZEL8|C8ZEL8_YEAS8"	"YEAST"	339318.336122007	151222.622474189
"1/tr|C8ZEN4|C8ZEN4_YEAS8"	"YEAST"	234729.28947908	110328.904247841
"1/tr|C8ZF34|C8ZF34_YEAS8"	"YEAST"	43190.557965651	NA
"1/tr|C8ZF37|C8ZF37_YEAS8"	"YEAST"	5519.17633892506	NA
"1/tr|C8ZF53|C8ZF53_YEAS8"	"YEAST"	55346.279065858	NA
"1/tr|C8ZF93|C8ZF93_YEAS8"	"YEAST"	205056.092321425	88388.6631452313
"1/tr|C8ZFA6|C8ZFA6_YEAS8"	"YEAST"	108536.320316286	46812.054814327
"1/tr|C8ZFH0|C8ZFH0_YEAS8"	"YEAST"	47432.5218945949	NA
"1/tr|C8ZFR6|C8ZFR6_YEAS8"	"YEAST"	87981.0473693296	NA
"1/tr|C8ZFY2|C8ZFY2_YEAS8"	"YEAST"	191225.598753944	93642.6215174639
"1/tr|C8ZG03|C8ZG03_YEAS8"	"YEAST"	73023.5128984193	NA
"1/tr|C8ZG95|C8ZG95_YEAS8"	"YEAST"	1783014.2574574	854921.847435369
"1/tr|C8ZG98|C8ZG98_YEAS8"	"YEAST"	70404.5510878433	38933.0599841381
"1/tr|C8ZGG1|C8ZGG1_YEAS8"	"YEAST"	2356644.12259163	1040928.73437004
"1/tr|C8ZGL6|C8ZGL6_YEAS8"	"YEAST"	106984.496709773	52150.1055501299
"1/tr|C8ZGW5|C8ZGW5_YEAS8"	"YEAST"	160712.943662493	82069.3703135713
"1/tr|C8ZGX6|C8ZGX6_YEAS8"	"YEAST"	60582.2003963281	NA
"1/tr|C8ZHE7|C8ZHE7_YEAS8"	"YEAST"	132327.775975537	64169.685889796
"1/tr|C8ZHH4|C8ZHH4_YEAS8"	"YEAST"	273001.240054056	148098.339072318
"1/tr|C8ZHK4|C8ZHK4_YEAS8"	"YEAST"	186153.071070364	NA
"1/tr|C8ZHT4|C8ZHT4_YEAS8"	"YEAST"	212481.363360629	81853.0856461809
"1/tr|C8ZI04|C8ZI04_YEAS8"	"YEAST"	103336.856620663	50618.6934775644
"1/tr|C8ZI60|C8ZI60_YEAS8"	"YEAST"	170482.629605377	NA
"1/tr|C8ZI78|C8ZI78_YEAS8"	"YEAST"	57381.0977753036	NA
"1/tr|C8ZIA6|C8ZIA6_YEAS8"	"YEAST"	182570.278386828	99028.916784841
"1/tr|C8ZII8|C8ZII8_YEAS8"	"YEAST"	80751.6007096138	NA
"1/tr|C8ZIN4|C8ZIN4_YEAS8"	"YEAST"	307589.522064302	125872.45653225
"1/tr|C8ZIS4|C8ZIS4_YEAS8"	"YEAST"	2635952.96639664	1164920.1656547
