"entry","species","logratio","sample1means","sample2means"
"1/sp|P28331|NDUS1_HUMAN","HUMAN",0.0610324718032257,338859.139499494,313604.55208215
"1/sp|P29218|IMPA1_HUMAN","HUMAN",0.0658519610449737,180672.228492572,166649.39635964
"1/sp|P30838|AL3A1_HUMAN","HUMAN",-0.0021934380474448,435873.496281976,421460.144602548
"1/sp|P31153|METK2_HUMAN","HUMAN",-0.19509675143118,633834.478109707,700553.96060675
"1/sp|P31327|CPSM_HUMAN","HUMAN",-0.00880544932027567,4216053.94115703,4095365.07314614
"1/sp|P33992|MCM5_HUMAN","HUMAN",-0.00980069968880366,643276.023626667,625292.800314899
"1/sp|P35270|SPRE_HUMAN","HUMAN",-0.0891612128849778,100450.655083823,103164.132817646
"1/sp|P37840|SYUA_HUMAN","HUMAN",0.126392116254043,848282.325000811,750288.619231086
"1/sp|P46459|NSF_HUMAN","HUMAN",-0.0678627952128693,220086.536289546,222719.360831639
"1/sp|P46782|RS5_HUMAN","HUMAN",-0.0248018617088503,3188999.80946591,3132249.55840536
"1/sp|P46926|GNPI1_HUMAN","HUMAN",0.0830952953678997,198298.202855521,180734.208264416
"1/sp|P47756|CAPZB_HUMAN","HUMAN",0.0379250602884495,962157.903206129,904826.955020681
"1/sp|P47897|SYQ_HUMAN","HUMAN",-0.127106824179901,382823.734810748,403643.145335382
"1/sp|P48444|COPD_HUMAN","HUMAN",-0.0745199744194548,341945.186390053,347636.20569094
"1/sp|P49736|MCM2_HUMAN","HUMAN",-0.0439778708363525,759563.896442412,756029.481152519
"1/sp|P50402|EMD_HUMAN","HUMAN",-0.108079961258535,497534.026167871,517718.7055866
"1/sp|P50991|TCPD_HUMAN","HUMAN",0.0033931726793251,1689994.20178408,1627794.31314254
"1/sp|P51148|RAB5C_HUMAN","HUMAN",0.0593657840996978,356691.153393448,330489.157136103
"1/sp|P51149|RAB7A_HUMAN","HUMAN",0.0726894543654707,769112.292332197,706063.571952488
"1/sp|P51665|PSMD7_HUMAN","HUMAN",-0.00517143294281604,168396.775070575,163164.729634876
"1/sp|P51970|NDUA8_HUMAN","HUMAN",-0.146571739907349,128909.761030622,137766.635595422
"1/sp|P52597|HNRPF_HUMAN","HUMAN",0.0444301606136943,796288.092678406,745471.714356715
"1/sp|P53597|SUCA_HUMAN","HUMAN",-0.0670079181270503,416575.39436243,421309.028979526
"1/sp|P53618|COPB_HUMAN","HUMAN",-0.00313276470147293,326496.393526698,315905.51198853
"1/sp|P55010|IF5_HUMAN","HUMAN",-0.129892249621802,323406.393663457,341653.460531217
"1/sp|P60891|PRPS1_HUMAN","HUMAN",-0.0107420984776796,317386.915026946,308715.525491622
"1/sp|P61586|RHOA_HUMAN","HUMAN",0.114809141323892,525416.261252649,468466.21256731
"1/sp|P62304|RUXE_HUMAN","HUMAN",-0.040450222289758,902890.394319577,896494.278026662
"1/sp|P62306|RUXF_HUMAN","HUMAN",0.0345475748578546,521239.770456006,491330.186879362
"1/sp|P62424|RL7A_HUMAN","HUMAN",0.0627284352429046,2738645.50807103,2531561.24774995
"1/sp|P62841|RS15_HUMAN","HUMAN",-0.106152831988237,639114.597765397,664155.361379349
"1/sp|P62906|RL10A_HUMAN","HUMAN",-0.00287019786347353,2432479.66340811,2353146.64553297
"1/sp|P62910|RL32_HUMAN","HUMAN",-0.0496962708157687,1461424.02248156,1460400.82336851
"1/sp|P63208|SKP1_HUMAN","HUMAN",0.00825023757478798,579479.31559244,556275.750838101
"1/sp|P63220|RS21_HUMAN","HUMAN",0.00167147543223483,623825.946863033,601583.656793213
"1/sp|P68366|TBA4A_HUMAN","HUMAN",0.000329006810507945,2222150.52628141,2144915.52376519
"1/sp|P83731|RL24_HUMAN","HUMAN",0.029744319997703,2530155.34918708,2392924.59677287
"1/sp|Q00341|VIGLN_HUMAN","HUMAN",-0.0857274828616127,251387.945627947,257564.943336815
"1/sp|Q00796|DHSO_HUMAN","HUMAN",0.522370901637961,293125.405122025,197033.426097322
"1/sp|Q01469|FABP5_HUMAN","HUMAN",0.167569198585434,939820.92945386,807862.624877958
"1/sp|Q04941|PLP2_HUMAN","HUMAN",-0.0247335167600343,786645.207492852,772609.761018685
"1/sp|Q09666|AHNK_HUMAN","HUMAN",0.0656102557742599,2196189.4900769,2026072.17834142
"1/sp|Q10589|BST2_HUMAN","HUMAN",0.0153541710721357,415265.77961741,396679.573058027
"1/sp|Q12788|TBL3_HUMAN","HUMAN",0.167729563225725,178461.00577807,153386.615807134
"1/sp|Q12797|ASPH_HUMAN","HUMAN",-0.0285435637304008,417048.49156631,410690.618853257
"1/sp|Q12849|GRSF1_HUMAN","HUMAN",-0.17283067835197,218791.883953004,238119.074167789
"1/sp|Q12874|SF3A3_HUMAN","HUMAN",-0.0132376090163269,477828.287474507,465578.08846746
"1/sp|Q13098|CSN1_HUMAN","HUMAN",0.0518254980950158,221369.086548709,206182.453182197
"1/sp|Q13162|PRDX4_HUMAN","HUMAN",0.0252736087819637,1058379.37543106,1004081.60994143
"1/sp|Q13283|G3BP1_HUMAN","HUMAN",-0.01779919567368,717608.663286014,701425.457221051
"1/sp|Q13310|PABP4_HUMAN","HUMAN",0.068392936618583,723813.29918871,666459.851675257
"1/sp|Q13547|HDAC1_HUMAN","HUMAN",-0.0290892989444294,134254.076220271,132257.403166512
"1/sp|Q13619|CUL4A_HUMAN","HUMAN",-0.131511826605584,180275.726565977,190661.066599825
"1/sp|Q13868|EXOS2_HUMAN","HUMAN",0.0311235067820117,228437.714460788,215841.254398536
"1/sp|Q14126|DSG2_HUMAN","HUMAN",0.111290173657751,174573.957270498,156031.949695932
"1/sp|Q14376|GALE_HUMAN","HUMAN",-0.251644429109135,111234.537995161,127858.008549923
"1/sp|Q15126|PMVK_HUMAN","HUMAN",0.151475037267594,131199.981308575,114043.622122637
"1/sp|Q15404|RSU1_HUMAN","HUMAN",0.0847862055760521,150992.040501783,137456.92434513
"1/sp|Q16543|CDC37_HUMAN","HUMAN",-0.135437076852075,368800.260193401,391108.811488838
"1/sp|Q16822|PCKGM_HUMAN","HUMAN",0.165380800423646,294530.873313936,253560.735324239
"1/sp|Q16836|HCDH_HUMAN","HUMAN",-0.0362861439289432,1051153.14462271,1040698.6008697
"1/sp|Q16851|UGPA_HUMAN","HUMAN",0.0147014862819575,130117.431560491,124349.960798882
"1/sp|Q29RF7|PDS5A_HUMAN","HUMAN",-0.0390059863318192,115211.423411662,114280.800346442
"1/sp|Q6ZRP7|QSOX2_HUMAN","HUMAN",-0.0859112231247482,59871.275385819,61350.2199150084
"1/sp|Q7L2H7|EIF3M_HUMAN","HUMAN",0.0331663109316604,276384.994125971,260775.126445232
"1/sp|Q7Z2K6|ERMP1_HUMAN","HUMAN",-0.078846325691575,126321.767325676,128809.846074409
"1/sp|Q7Z6Z7|HUWE1_HUMAN","HUMAN",0.0236784868200096,272059.060112277,258387.213022288
"1/sp|Q8TDN6|BRX1_HUMAN","HUMAN",0.0988007283645823,324177.85850189,292265.212265079
"1/sp|Q8WW12|PCNP_HUMAN","HUMAN",0.0162275258475308,264406.170901008,252419.192941872
"1/sp|Q8WX93|PALLD_HUMAN","HUMAN",0.0284372393400961,187974.164409416,177939.94827423
"1/sp|Q92598|HS105_HUMAN","HUMAN",0.0592636494795504,371099.078620443,343863.040511334
"1/sp|Q92688|AN32B_HUMAN","HUMAN",0.0369761326206233,1665378.55265034,1567176.1053671
"1/sp|Q92890|UFD1_HUMAN","HUMAN",0.0190495246173829,186386.515374346,177588.880589798
"1/sp|Q96CW1|AP2M1_HUMAN","HUMAN",-0.00947240064455095,254339.844117137,247173.345930461
"1/sp|Q96HE7|ERO1A_HUMAN","HUMAN",0.0243348009620163,245415.777274783,232976.830794396
"1/sp|Q96JJ7|TMX3_HUMAN","HUMAN",-0.709323053065011,74666.9387343251,117866.834691605
"1/sp|Q99436|PSB7_HUMAN","HUMAN",-0.008667396212917,598023.91598237,580849.283280521
"1/sp|Q99471|PFD5_HUMAN","HUMAN",0.0694266244097329,216506.879844693,199208.54521766
"1/sp|Q99567|NUP88_HUMAN","HUMAN",0.224843212753872,213382.197253404,176282.576965275
"1/sp|Q99598|TSNAX_HUMAN","HUMAN",0.00241403856449154,73959.0953365179,71285.4099172329
"1/sp|Q99848|EBP2_HUMAN","HUMAN",-0.000329006810507938,506489.84926279,489108.877982683
"1/sp|Q9BPW8|NIPS1_HUMAN","HUMAN",0.159735935028895,302498.041613566,261440.592198278
"1/sp|Q9BQ67|GRWD1_HUMAN","HUMAN",-0.0185187331107324,305099.20734039,298367.511787004
"1/sp|Q9BQG0|MBB1A_HUMAN","HUMAN",0.0905231346026676,496932.981101068,450591.922150413
"1/sp|Q9BR76|COR1B_HUMAN","HUMAN",-0.121400203308292,184562.317080241,193831.294240627
"1/sp|Q9BRA2|TXD17_HUMAN","HUMAN",-0.049958451290252,303277.909915005,303120.654404265
"1/sp|Q9BVC6|TM109_HUMAN","HUMAN",-0.188221929790911,550060.115229707,605071.031749192
"1/sp|Q9BXJ9|NAA15_HUMAN","HUMAN",-0.147690164806017,345153.380678619,369153.559398915
"1/sp|Q9BYD3|RM04_HUMAN","HUMAN",-0.0976286342777183,137769.616052521,142324.069951527
"1/sp|Q9BZE1|RM37_HUMAN","HUMAN",-0.264554271489016,101875.298919112,118152.639010196
"1/sp|Q9HD33|RM47_HUMAN","HUMAN",-0.313514495764794,94001.8919486684,112784.552565925
"1/sp|Q9NRX4|PHP14_HUMAN","HUMAN",0.119770909073847,110498.868293539,98183.6002297962
"1/sp|Q9NTK5|OLA1_HUMAN","HUMAN",0.0512456866491875,505934.491611434,471415.174767049
"1/sp|Q9NTM9|CUTC_HUMAN","HUMAN",0.0889396991030127,197976.823337381,179711.79964977
"1/sp|Q9NTZ6|RBM12_HUMAN","HUMAN",-0.182580445390124,116516.75971265,127669.262111935
"1/sp|Q9NZT2|OGFR_HUMAN","HUMAN",-0.0493321274947483,127354.774521639,127233.490138737
"1/sp|Q9UBI6|GBG12_HUMAN","HUMAN",0.0518347798089876,241115.571565955,224572.820819709
"1/sp|Q9UBM7|DHCR7_HUMAN","HUMAN",-0.0333403769273343,363441.685744005,359093.009518108
"1/sp|Q9UBX3|DIC_HUMAN","HUMAN",0.00457910436326479,272339.565221252,262100.621700561
"1/sp|Q9UI30|TR112_HUMAN","HUMAN",-0.0121372360131509,380581.6174563,370541.827139453
"1/sp|Q9UKD2|MRT4_HUMAN","HUMAN",-0.151167819756671,336721.846308256,361004.903766689
"1/sp|Q9UKS6|PACN3_HUMAN","HUMAN",0.138811565472353,211542.118224546,185500.960573773
"1/sp|Q9Y230|RUVB2_HUMAN","HUMAN",-0.00763226663137915,997451.792465368,968111.135126028
"1/sp|Q9Y262|EIF3L_HUMAN","HUMAN",0.049881794168334,299018.207937499,278880.068953484
"1/sp|Q9Y266|NUDC_HUMAN","HUMAN",-0.152608659148431,622806.637487927,668388.202080944
"1/sp|Q9Y2S7|PDIP2_HUMAN","HUMAN",0.101324907023489,149324.574809321,134389.46020714
"1/sp|Q9Y2X3|NOP58_HUMAN","HUMAN",0.0679943557630598,441422.206886669,406557.143306841
"1/sp|Q9Y3U8|RL36_HUMAN","HUMAN",0.0712821248292454,2640168.81680965,2426103.91476079
"1/sp|Q9Y617|SERC_HUMAN","HUMAN",0.0518136586343528,1613625.8235133,1502938.22104131
"2/sp|P05388|RLA0_HUMAN/sp|Q8NHW5|RLA0L_HUMAN","HUMAN",-0.0293136611531201,2680534.94108702,2641079.79668665
"2/sp|P46439|GSTM5_HUMAN/sp|P09488|GSTM1_HUMAN","HUMAN",-0.0830948175115875,162432.873143957,166120.686767865
"2/sp|P47985|UCRI_HUMAN/sp|P0C7P4|UCRIL_HUMAN","HUMAN",0.0219592226553511,220169.632338299,209354.736796652
"2/sp|P49448|DHE4_HUMAN/sp|P00367|DHE3_HUMAN","HUMAN",0.0964421968212254,644168.138998684,581705.279569439
"2/sp|P54727|RD23B_HUMAN/sp|P54725|RD23A_HUMAN","HUMAN",-0.4429014270939,246513.004374979,323520.800442481
"2/sp|P62714|PP2AB_HUMAN/sp|P67775|PP2AA_HUMAN","HUMAN",0.0415618890173898,538308.055706573,504958.006672986
"2/sp|P62879|GBB2_HUMAN/sp|P62873|GBB1_HUMAN","HUMAN",0.106098083601629,390635.029987566,350403.34168235
"2/sp|P67936|TPM4_HUMAN/sp|P07951|TPM2_HUMAN","HUMAN",-0.289087555954734,770699.487160988,909169.493300581
"2/sp|Q15560|TCEA2_HUMAN/sp|P23193|TCEA1_HUMAN","HUMAN",0.087081886913045,230090.657959994,209131.997223943
"2/sp|Q8IYD1|ERF3B_HUMAN/sp|P15170|ERF3A_HUMAN","HUMAN",0.331910450162211,277794.075520891,213080.514644347
"2/sp|Q9UHD9|UBQL2_HUMAN/sp|Q9UMX0|UBQL1_HUMAN","HUMAN",0.0284704484874097,189740.56394328,179607.921530963
"2/sp|Q9ULD0|OGDHL_HUMAN/sp|Q02218|ODO1_HUMAN","HUMAN",-0.0657278639533781,421539.819182234,425951.765405115
"3/sp|P24844|MYL9_HUMAN/sp|O14950|ML12B_HUMAN/sp|P19105|ML12A_HUMAN","HUMAN",0.0148368748908013,778872.321286214,744278.862662777
"3/sp|P35241|RADI_HUMAN/sp|P26038|MOES_HUMAN/sp|P15311|EZRI_HUMAN","HUMAN",-0.0103254903089395,4493701.75715243,4369666.44467822
"3/sp|P68371|TBB4B_HUMAN/sp|Q9BVA1|TBB2B_HUMAN/sp|Q13885|TBB2A_HUMAN","HUMAN",0.0862233338923937,1075012.08643551,977672.267698479
"3/sp|Q8TDI0|CHD5_HUMAN/sp|Q14839|CHD4_HUMAN/sp|Q12873|CHD3_HUMAN","HUMAN",-0.000487139818036962,201211.45919352,194327.880245201
"4/sp|O43707|ACTN4_HUMAN/sp|Q08043|ACTN3_HUMAN/sp|P35609|ACTN2_HUMAN/sp|P12814|ACTN1_HUMAN","HUMAN",-0.0957232304360565,1458897.83909259,1505137.59543423
"7/sp|P0CG39|POTEJ_HUMAN/sp|P0CG38|POTEI_HUMAN/sp|A5A3E0|POTEF_HUMAN/sp|Q6S8J3|POTEE_HUMAN/sp|P63261|ACTG_HUMAN/sp|P60709|ACTB_HUMAN/sp|Q9BYX7|ACTBM_HUMAN","HUMAN",-0.00205499418370813,8984688.59709376,8686751.60798403
"9/sp|Q3ZCM7|TBB8_HUMAN/sp|A6NNZ2|TBB8L_HUMAN/sp|Q9BUF5|TBB6_HUMAN/sp|P07437|TBB5_HUMAN/sp|P68371|TBB4B_HUMAN/sp|P04350|TBB4A_HUMAN/sp|Q13509|TBB3_HUMAN/sp|Q9BVA1|TBB2B_HUMAN/sp|Q13885|TBB2A_HUMAN","HUMAN",-0.0063964373825775,2161405.00200105,2096029.69333606
"1/sp|C8ZDR4|HRI1_YEAS8","YEAST",1.08325719569418,297107.481656152,135380.601183364
"1/tr|C8Z3I1|C8Z3I1_YEAS8","YEAST",1.33464247249924,243736.820993385,93301.6842983985
"1/tr|C8Z3L4|C8Z3L4_YEAS8","YEAST",1.50598127267578,257147.94009504,87412.4459679129
"1/tr|C8Z3M9|C8Z3M9_YEAS8","YEAST",1.41879738077021,301898.709286897,109017.557092411
"1/tr|C8Z3Q6|C8Z3Q6_YEAS8","YEAST",0.893178573806835,275386.074665828,143154.232383029
"1/tr|C8Z419|C8Z419_YEAS8","YEAST",1.04650601638381,1721506.32969135,804664.203020172
"1/tr|C8Z423|C8Z423_YEAS8","YEAST",0.944306684795713,109026.814345487,54702.1560938897
"1/tr|C8Z439|C8Z439_YEAS8","YEAST",1.09732805887061,358648.852340686,161836.524680879
"1/tr|C8Z454|C8Z454_YEAS8","YEAST",1.03042051025212,972053.176373177,459450.047833854
"1/tr|C8Z470|C8Z470_YEAS8","YEAST",1.21101050941298,308989.053296984,128863.037584525
"1/tr|C8Z4E5|C8Z4E5_YEAS8","YEAST",1.01228061880498,746230.789243109,357175.854745736
"1/tr|C8Z4H1|C8Z4H1_YEAS8","YEAST",0.86670938215339,131528.397538117,69638.5574935873
"1/tr|C8Z4U3|C8Z4U3_YEAS8","YEAST",1.17795778456304,675786.33220825,288366.320662064
"1/tr|C8Z5E5|C8Z5E5_YEAS8","YEAST",1.03555393571673,108613.407405238,51154.8011518297
"1/tr|C8Z5U9|C8Z5U9_YEAS8","YEAST",1.08876154211509,11051039.9134383,5016363.78937649
"1/tr|C8Z5Y0|C8Z5Y0_YEAS8","YEAST",1.09791535566098,3535838.80981266,1594860.72291839
"1/tr|C8Z6D5|C8Z6D5_YEAS8","YEAST",1.12948068592014,1022958.07395736,451425.437434216
"1/tr|C8Z6F5|C8Z6F5_YEAS8","YEAST",1.07987610322701,289347.636913057,132154.087477664
"1/tr|C8Z6H1|C8Z6H1_YEAS8","YEAST",0.813799790725063,39535.3701035091,21714.1793359235
"1/tr|C8Z6H9|C8Z6H9_YEAS8","YEAST",1.31654979581808,1045323.98059835,405196.507426646
"1/tr|C8Z6K7|C8Z6K7_YEAS8","YEAST",1.31073968710601,253738.995517176,98753.1626193642
"1/tr|C8Z6U2|C8Z6U2_YEAS8","YEAST",1.08638949738777,238729.388994427,108543.999494732
"1/tr|C8Z6U7|C8Z6U7_YEAS8","YEAST",0.714402927481423,765551.492981918,450457.120885211
"1/tr|C8Z6X1|C8Z6X1_YEAS8","YEAST",0.750951666754294,318770.503691326,182875.240697619
"1/tr|C8Z7A8|C8Z7A8_YEAS8","YEAST",1.0623040744368,1044839.81909968,483058.894867246
"1/tr|C8Z7T9|C8Z7T9_YEAS8","YEAST",1.23012159335121,104477.202990896,42998.5488132535
"1/tr|C8Z7V9|C8Z7V9_YEAS8","YEAST",1.01031676435754,100714.444378946,48271.6194448183
"1/tr|C8Z7X9|C8Z7X9_YEAS8","YEAST",0.965331180963759,1011041.01088748,499931.946843409
"1/tr|C8Z7Y7|C8Z7Y7_YEAS8","YEAST",1.12685640200449,86353.476687031,38176.6669030674
"1/tr|C8Z865|C8Z865_YEAS8","YEAST",1.11237307848729,177830.767876307,79411.7926338209
"1/tr|C8Z8A2|C8Z8A2_YEAS8","YEAST",1.07960745272052,268605.157957085,122703.197567244
"1/tr|C8Z8E8|C8Z8E8_YEAS8","YEAST",1.02449959154376,112309.054257731,53302.2352329014
"1/tr|C8Z8T3|C8Z8T3_YEAS8","YEAST",0.963394911077082,345058.836607607,170851.244613622
"1/tr|C8Z9Q6|C8Z9Q6_YEAS8","YEAST",1.76369385794872,53608.5271614704,15242.1025846211
"1/tr|C8Z9X5|C8Z9X5_YEAS8","YEAST",0.914322918752278,635751.716651466,325675.19085308
"1/tr|C8ZA01|C8ZA01_YEAS8","YEAST",1.17560894491643,301960.799851072,129060.329797535
"1/tr|C8ZA32|C8ZA32_YEAS8","YEAST",0.715510355473592,75218.752593307,44225.4037858207
"1/tr|C8ZAC8|C8ZAC8_YEAS8","YEAST",1.04944251450915,317001.812087032,147871.278653716
"1/tr|C8ZAD7|C8ZAD7_YEAS8","YEAST",0.879098038284485,98745.5507842712,51834.4407206211
"1/tr|C8ZBE5|C8ZBE5_YEAS8","YEAST",0.51156392825693,129654.603037312,87806.6911501175
"1/tr|C8ZBQ7|C8ZBQ7_YEAS8","YEAST",0.565240833151507,554510.169857614,361818.550243416
"1/tr|C8ZBS1|C8ZBS1_YEAS8","YEAST",1.12235115905174,4238502.51666962,1879692.63545997
"1/tr|C8ZC29|C8ZC29_YEAS8","YEAST",0.531046724199077,301252.141987767,201281.986309218
"1/tr|C8ZC71|C8ZC71_YEAS8","YEAST",0.949225521635646,426621.900220338,213320.970176489
"1/tr|C8ZC79|C8ZC79_YEAS8","YEAST",1.30705512786717,427292.123993933,166723.894880099
"1/tr|C8ZCS7|C8ZCS7_YEAS8","YEAST",1.01524358783062,106868.252053687,51046.4673525367
"1/tr|C8ZCZ9|C8ZCZ9_YEAS8","YEAST",0.841427520236803,490223.310291045,264140.377727586
"1/tr|C8ZED0|C8ZED0_YEAS8","YEAST",1.46687854941379,193357.440629569,67533.9581868678
"1/tr|C8ZEH6|C8ZEH6_YEAS8","YEAST",1.2019654908746,6145563.94857382,2579109.81798675
"1/tr|C8ZEK3|C8ZEK3_YEAS8","YEAST",1.1833287209354,288913.355878807,122824.763958896
"1/tr|C8ZEL8|C8ZEL8_YEAS8","YEAST",1.11525870307777,339318.336122007,151222.622474189
"1/tr|C8ZEN4|C8ZEN4_YEAS8","YEAST",1.03848036013477,234729.28947908,110328.904247841
"1/tr|C8ZF93|C8ZF93_YEAS8","YEAST",1.16337865220366,205056.092321425,88388.6631452313
"1/tr|C8ZFA6|C8ZFA6_YEAS8","YEAST",1.16251919379947,108536.320316286,46812.054814327
"1/tr|C8ZFY2|C8ZFY2_YEAS8","YEAST",0.979331726106144,191225.598753944,93642.6215174639
"1/tr|C8ZG95|C8ZG95_YEAS8","YEAST",1.00974708100132,1783014.2574574,854921.847435369
"1/tr|C8ZG98|C8ZG98_YEAS8","YEAST",0.803966240439763,70404.5510878433,38933.0599841381
"1/tr|C8ZGG1|C8ZGG1_YEAS8","YEAST",1.12815590243021,2356644.12259163,1040928.73437004
"1/tr|C8ZGL6|C8ZGL6_YEAS8","YEAST",0.98595295994181,106984.496709773,52150.1055501299
"1/tr|C8ZGW5|C8ZGW5_YEAS8","YEAST",0.918863626904974,160712.943662493,82069.3703135713
"1/tr|C8ZHE7|C8ZHE7_YEAS8","YEAST",0.993445381999088,132327.775975537,64169.685889796
"1/tr|C8ZHH4|C8ZHH4_YEAS8","YEAST",0.83164533265634,273001.240054056,148098.339072318
"1/tr|C8ZHT4|C8ZHT4_YEAS8","YEAST",1.32552088924058,212481.363360629,81853.0856461809
"1/tr|C8ZI04|C8ZI04_YEAS8","YEAST",0.978906018185202,103336.856620663,50618.6934775644
"1/tr|C8ZIA6|C8ZIA6_YEAS8","YEAST",0.831823445669503,182570.278386828,99028.916784841
"1/tr|C8ZIN4|C8ZIN4_YEAS8","YEAST",1.23833702197957,307589.522064302,125872.45653225
"1/tr|C8ZIS4|C8ZIS4_YEAS8","YEAST",1.12738683014685,2635952.96639664,1164920.1656547
"1/tr|C8ZJ57|C8ZJ57_YEAS8","YEAST",0.895886775390002,288019.903281104,149440.897506981
"1/tr|C8ZJM0|C8ZJM0_YEAS8","YEAST",1.12158180134324,1401694.79604789,621955.70417888
"1/tr|D3UEK2|D3UEK2_YEAS8","YEAST",0.827641371287816,288798.744692779,157103.616241157
"1/tr|D3UEK4|D3UEK4_YEAS8","YEAST",0.927305043644488,133190.542599176,67618.0300309263
"1/tr|D3UEL8|D3UEL8_YEAS8","YEAST",1.01958512369698,552235.030509268,262986.833476813
"1/tr|D3UES2|D3UES2_YEAS8","YEAST",1.70284987910299,444113.306595267,131710.577239492
"1/tr|D3UEY2|D3UEY2_YEAS8","YEAST",1.00274936211479,133354.692533583,64251.9666610553
"1/tr|D3UF49|D3UF49_YEAS8","YEAST",1.28864860520108,189843.399364689,75025.5826500821
