"proteinID"	"species"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"
"BUB3_HUMAN"	"HUMAN"	123916	173541	179782	171557	155083	153628.5
"BZW1_HUMAN"	"HUMAN"	61765	80363	63217.3333333333	53996.3333333333	96087.5	NA
"BZW2_HUMAN"	"HUMAN"	NA	NA	NA	12112.5	NA	11937
"C1TC_HUMAN"	"HUMAN"	397790.666666667	368899	301860.666666667	368006.333333333	344236	376752.666666667
"C8AP2_HUMAN"	"HUMAN"	59614.3333333333	73545.6666666667	64452	99852.5	NA	91184
"C8Z3F1_YEAS8"	"YEAST"	777878	691468.333333333	701317.333333333	78816	59733	51539.3333333333
"C8Z3F6_YEAS8"	"YEAST"	161989	176419.333333333	158135.666666667	NA	8010.33333333333	9423
"C8Z3H3_YEAS8"	"YEAST"	1494908	1514683	1467603.66666667	303580.666666667	333922.666666667	311272.666666667
"C8Z3H5_YEAS8"	"YEAST"	474579	590339.666666667	556579.666666667	63159	48214	NA
"C8Z3I1_YEAS8"	"YEAST"	57241	56930.5	48633	NA	NA	NA
"C8Z3L4_YEAS8"	"YEAST"	67637.6666666667	68650	66859.6666666667	47636.5	51890.5	NA
"C8Z3L8_YEAS8"	"YEAST"	440362.333333333	391615	224641.666666667	47599.5	46258.6666666667	42242.6666666667
"C8Z3Q3_YEAS8"	"YEAST"	314136.333333333	304686	301888.333333333	36909	31523.3333333333	32108.6666666667
"C8Z3Q9_YEAS8"	"YEAST"	38872	33329.5	34119.5	NA	NA	NA
"C8Z3S1_YEAS8"	"YEAST"	826712.5	797778	1098822	NA	NA	NA
"C8Z3U3_YEAS8"	"YEAST"	345839.666666667	308461.666666667	368267.666666667	52528.6666666667	50874	49614.3333333333
"C8Z3W9_YEAS8"	"YEAST"	126182	51736.5	68799.5	NA	NA	NA
"C8Z3Z4_YEAS8"	"YEAST"	3789.66666666667	NA	34101.5	NA	NA	NA
"C8Z406_YEAS8"	"YEAST"	859354	798232.333333333	785510.333333333	105764.5	107406.5	80153.3333333333
"C8Z439_YEAS8"	"YEAST"	151308	148000.666666667	147460.333333333	NA	NA	NA
"C8Z447_YEAS8"	"YEAST"	209187.333333333	226011.666666667	219700.666666667	29344.3333333333	37993	31893.6666666667
"C8Z452_YEAS8"	"YEAST"	19915	20149	NA	NA	NA	NA
"C8Z454_YEAS8"	"YEAST"	273495.5	276718	195751	NA	NA	NA
"C8Z466_YEAS8"	"YEAST"	86183	83642	81472.5	NA	NA	NA
"C8Z487_YEAS8"	"YEAST"	45143.5	46521.5	NA	NA	NA	NA
"C8Z493_YEAS8"	"YEAST"	94651	148091	75622.5	NA	NA	6808
"C8Z496_YEAS8"	"YEAST"	109961	NA	138639.5	64045	NA	NA
"C8Z499_YEAS8"	"YEAST"	1619683.66666667	1614593	2065285	344441	319264.666666667	340298.666666667
"C8Z4E5_YEAS8"	"YEAST"	382689.5	NA	369788	NA	NA	NA
"C8Z4G0_YEAS8"	"YEAST"	3555.5	4189.5	NA	NA	NA	NA
"C8Z4G1_YEAS8"	"YEAST"	29972	NA	21977.5	NA	NA	NA
"C8Z4H5_YEAS8"	"YEAST"	126093	123707.5	124480	NA	16242	19900
"C8Z4H9_YEAS8"	"YEAST"	20034	25458	NA	13007.5	NA	NA
"C8Z4J2_YEAS8"	"YEAST"	69007.6666666667	51388.5	59632.3333333333	3947	4717.5	NA
"C8Z4J5_YEAS8"	"YEAST"	NA	NA	NA	107067	102815	107809.5
"C8Z4K3_YEAS8"	"YEAST"	329630	307443	305000.666666667	NA	NA	NA
"C8Z4L4_YEAS8"	"YEAST"	454267.666666667	360492.333333333	334328.666666667	14470.3333333333	20437	15636.3333333333
"C8Z4P8_YEAS8"	"YEAST"	734166	763517.666666667	633780.333333333	57629	58802	83101.5
"C8Z4Q5_YEAS8"	"YEAST"	293953	426754	317946	NA	NA	NA
"C8Z4S0_YEAS8"	"YEAST"	121029.333333333	126639.666666667	164174.5	NA	10003.5	9859
"C8Z4T0_YEAS8"	"YEAST"	14951	19144.6666666667	NA	NA	NA	NA
"C8Z4U3_YEAS8"	"YEAST"	51118	55782	59143.5	NA	NA	NA
"C8Z4V2_YEAS8"	"YEAST"	240908.333333333	221968	NA	NA	NA	NA
"C8Z4V7_YEAS8"	"YEAST"	NA	92010	109955.5	NA	NA	NA
"C8Z4V9_YEAS8"	"YEAST"	155043.666666667	176857	212101	NA	NA	NA
"C8Z4W0_YEAS8"	"YEAST"	82814	113401.5	111772	NA	NA	NA
"C8Z4W9_YEAS8"	"YEAST"	NA	NA	1089094	230670	230633.5	224172
"C8Z4Y3_YEAS8"	"YEAST"	760478	700410.666666667	673884.666666667	343489	416374.5	355227.5
"C8Z4Y9_YEAS8"	"YEAST"	17005	16139	18382.6666666667	NA	NA	NA
"C8Z545_YEAS8"	"YEAST"	109545.333333333	102807	129794.666666667	NA	NA	NA
"C8Z570_YEAS8"	"YEAST"	591742.666666667	613891	577919.666666667	58447	53873.5	53124.5
"C8Z573_YEAS8"	"YEAST"	108745	60254.5	120660.666666667	NA	NA	NA
"C8Z5A3_YEAS8"	"YEAST"	18810.5	27253	NA	NA	NA	NA
"C8Z5C5_YEAS8"	"YEAST"	95320	104026.5	83093	NA	NA	NA
"C8Z5E4_YEAS8"	"YEAST"	179609.5	200176	198735.5	18939	18618.5	20957.5
"C8Z5E5_YEAS8"	"YEAST"	78198.3333333333	79731	50566.6666666667	NA	NA	NA
"C8Z5E9_YEAS8"	"YEAST"	52110	49726	NA	NA	NA	NA
"C8Z5H0_YEAS8"	"YEAST"	118745	128440.666666667	116878.333333333	15771	NA	9664
"C8Z5K5_YEAS8"	"YEAST"	22760.3333333333	23641.6666666667	NA	NA	NA	NA
"C8Z5L5_YEAS8"	"YEAST"	50006.3333333333	45403.6666666667	NA	NA	NA	NA
"C8Z5P7_YEAS8"	"YEAST"	9432	NA	10297.5	NA	NA	NA
"C8Z5Q2_YEAS8"	"YEAST"	27179.3333333333	28137.6666666667	38353.6666666667	NA	NA	NA
"C8Z5U7_YEAS8"	"YEAST"	322854.5	332343	NA	NA	NA	NA
"C8Z5U9_YEAS8"	"YEAST"	473747	916358	616571.333333333	105535	119672.333333333	112016.333333333
"C8Z5V8_YEAS8"	"YEAST"	90691	80977.6666666667	56732.6666666667	5876	3800.5	5255.5
"C8Z5Y0_YEAS8"	"YEAST"	390819	410774.333333333	404104.666666667	34384.3333333333	33296.6666666667	33680
"C8Z5Y8_YEAS8"	"YEAST"	69836	62267	65444.3333333333	NA	NA	NA
"C8Z5Z0_YEAS8"	"YEAST"	68591.6666666667	82387	53177	NA	NA	NA
"C8Z5Z3_YEAS8"	"YEAST"	154414.5	225767	263210	NA	NA	NA
"C8Z608_YEAS8"	"YEAST"	237379.5	269166	225340.5	NA	NA	NA
"C8Z615_YEAS8"	"YEAST"	24772.3333333333	33643	36541	72827	107923	115332
"C8Z645_YEAS8"	"YEAST"	23123.5	NA	21143.6666666667	NA	NA	NA
"C8Z659_YEAS8"	"YEAST"	83630	111811.333333333	88670	32067	40341.5	38972.5
"C8Z669_YEAS8"	"YEAST"	187596	157124.5	194198.666666667	15547.6666666667	11653.5	15969.3333333333
"C8Z6B1_YEAS8"	"YEAST"	249430.5	NA	50792.5	24620	26707.5	19024
"C8Z6B2_YEAS8"	"YEAST"	NA	662328.5	627035.5	NA	NA	NA
"C8Z6B9_YEAS8"	"YEAST"	356170.333333333	399474.333333333	427216.666666667	22174.6666666667	50989.6666666667	48366
"C8Z6D0_YEAS8"	"YEAST"	49550.3333333333	50246.5	NA	NA	NA	NA
"C8Z6D5_YEAS8"	"YEAST"	208202.333333333	209273.666666667	199914.333333333	NA	NA	NA
"C8Z6F7_YEAS8"	"YEAST"	49106	45158	48560.5	NA	NA	NA
"C8Z6F9_YEAS8"	"YEAST"	44979	44519	44078	NA	NA	NA
"C8Z6H7_YEAS8"	"YEAST"	505283.666666667	507768	481197.666666667	48075.6666666667	41233.6666666667	40762.6666666667
"C8Z6H9_YEAS8"	"YEAST"	456376.333333333	452454	418170	35266.3333333333	31779	33971.6666666667
"C8Z6J2_YEAS8"	"YEAST"	21254.5	21762	NA	NA	NA	NA
"C8Z6M1_YEAS8"	"YEAST"	NA	NA	NA	43895.5	NA	42998.5
"C8Z6P3_YEAS8"	"YEAST"	27947.5	29373	NA	NA	NA	NA
"C8Z6T1_YEAS8"	"YEAST"	194848.666666667	285368.666666667	285672.666666667	NA	NA	NA
"C8Z6U2_YEAS8"	"YEAST"	13601.5	10037.5	NA	NA	NA	NA
"C8Z6W1_YEAS8"	"YEAST"	NA	NA	NA	100953	138948.5	NA
"C8Z6W5_YEAS8"	"YEAST"	107632	71926	88022	NA	NA	NA
"C8Z701_YEAS8"	"YEAST"	136195	131634	143852.5	NA	NA	NA
"C8Z702_YEAS8"	"YEAST"	91989.5	89545.5	81379.5	NA	NA	NA
"C8Z709_YEAS8"	"YEAST"	114054.5	106971.5	170612.666666667	NA	NA	NA
"C8Z720_YEAS8"	"YEAST"	45848.5	45664	53013	NA	NA	NA
"C8Z746_YEAS8"	"YEAST"	598241.666666667	602391.666666667	569746.333333333	110250.333333333	98962	109581
"C8Z752_YEAS8"	"YEAST"	42047.5	45072	28754	NA	NA	NA
"C8Z760_YEAS8"	"YEAST"	16867	14716.3333333333	9093.66666666667	NA	10267	NA
"C8Z762_YEAS8"	"YEAST"	431042	377406.5	379098.5	NA	33149.5	NA
"C8Z768_YEAS8"	"YEAST"	NA	NA	94858.6666666667	10999.5	9826.5	10236.5
"C8Z777_YEAS8"	"YEAST"	197068	134932.666666667	162926.666666667	NA	NA	NA
"C8Z782_YEAS8"	"YEAST"	332134.5	418549.5	NA	NA	NA	NA
"C8Z7A8_YEAS8"	"YEAST"	343215.666666667	357933.666666667	364396.666666667	17314	18262.5	26137.5
"C8Z7C8_YEAS8"	"YEAST"	226533.333333333	231878.333333333	239975.333333333	20586.6666666667	18559.6666666667	20742.3333333333
"C8Z7D7_YEAS8"	"YEAST"	61108	78926	72403	NA	NA	NA
"C8Z7I7_YEAS8"	"YEAST"	446236	416406.333333333	403104.666666667	62031.5	35648.3333333333	38823.3333333333
"C8Z7K1_YEAS8"	"YEAST"	NA	NA	268765.5	7724.5	6535.5	NA
"C8Z7M4_YEAS8"	"YEAST"	157747.5	153180	NA	NA	NA	NA
"C8Z7N7_YEAS8"	"YEAST"	146556.5	143722.5	108979.333333333	NA	NA	NA
"C8Z7P4_YEAS8"	"YEAST"	83366.5	73581	78543	NA	NA	NA
"C8Z7P5_YEAS8"	"YEAST"	81943	74744.3333333333	74647.6666666667	NA	NA	NA
"C8Z7R1_YEAS8"	"YEAST"	227439.333333333	181395	122834.5	NA	NA	NA
"C8Z7R5_YEAS8"	"YEAST"	122566.333333333	133206	120203.333333333	NA	NA	NA
"C8Z7R7_YEAS8"	"YEAST"	58308.3333333333	45792.6666666667	49900	NA	NA	NA
"C8Z7U4_YEAS8"	"YEAST"	116618.5	111409	NA	NA	NA	NA
"C8Z7W6_YEAS8"	"YEAST"	690817	686088.666666667	716413	34105.5	26203.5	NA
"C8Z7X9_YEAS8"	"YEAST"	284769	273420.5	94001	NA	NA	NA
"C8Z7Y9_YEAS8"	"YEAST"	210490.333333333	194683.666666667	200526.5	7804.66666666667	14989.3333333333	9714
"C8Z805_YEAS8"	"YEAST"	443167.333333333	402609	418744.333333333	19915	6385	18412.5
"C8Z813_YEAS8"	"YEAST"	711827.333333333	591007.333333333	495593.666666667	85563	43775	55487.3333333333
"C8Z821_YEAS8"	"YEAST"	124916	117579	141592.333333333	9087.66666666667	7464	NA
"C8Z834_YEAS8"	"YEAST"	270126	225171.333333333	275008	NA	NA	NA
"C8Z848_YEAS8"	"YEAST"	79280.5	76911	NA	NA	7704.5	NA
"C8Z849_YEAS8"	"YEAST"	32885	28507	107763	NA	NA	NA
"C8Z853_YEAS8"	"YEAST"	175947	169703.666666667	158498.333333333	32357	5629.5	23621
"C8Z857_YEAS8"	"YEAST"	26127	24336.3333333333	34548.3333333333	NA	NA	NA
"C8Z878_YEAS8"	"YEAST"	15668.5	NA	14949	NA	NA	NA
"C8Z894_YEAS8"	"YEAST"	87937.3333333333	80455	85598	NA	NA	NA
"C8Z8A3_YEAS8"	"YEAST"	575848.666666667	550163.666666667	511726.333333333	NA	NA	NA
