id;species
Q9NP58;HUMAN
O75027;HUMAN
Q9NUT2;HUMAN
Q9NP78;HUMAN
Q9NRK6;HUMAN
O95342;HUMAN
Q09428;HUMAN
Q96J66;HUMAN
O60706;HUMAN
Q9NSE7;HUMAN
P33897;HUMAN
Q9UBJ2;HUMAN
P28288;HUMAN
O14678;HUMAN
Q8NE71;HUMAN
P61221;HUMAN
Q9UG63;HUMAN
Q9NUQ8;HUMAN
P45844;HUMAN
Q9UNQ0;HUMAN
Q9H172;HUMAN
Q9H222;HUMAN
Q9H221;HUMAN
Q8N2K0;HUMAN
P41238;HUMAN
Q9Y235;HUMAN
Q8WW27;HUMAN
Q6UXT9;HUMAN
Q96SE0;HUMAN
P08910;HUMAN
Q8WU67;HUMAN
Q8TB40;HUMAN
Q8WTS1;HUMAN
Q9BV23;HUMAN
Q96I13;HUMAN
Q9NUJ1;HUMAN
Q8NFV4;HUMAN
Q7L211;HUMAN
Q9BUJ0;HUMAN
Q96IU4;HUMAN
O95870;HUMAN
Q9H3Z7;HUMAN
Q9NYB9;HUMAN
Q8IZP0;HUMAN
Q9P2A4;HUMAN
P42684;HUMAN
P00519;HUMAN
O14639;HUMAN
Q6H8Q1;HUMAN
O94929;HUMAN
Q9P1F3;HUMAN
Q8N0Z2;HUMAN
Q12979;HUMAN
Q9ULW3;HUMAN
Q969K4;HUMAN
Q8N961;HUMAN
Q13085;HUMAN
O00763;HUMAN
Q9H845;HUMAN
Q9UKU7;HUMAN
P28330;HUMAN
P11310;HUMAN
P16219;HUMAN
P49748;HUMAN
Q15027;HUMAN
Q15057;HUMAN
Q96P50;HUMAN
O00400;HUMAN
Q8NC06;HUMAN
Q5T8D3;HUMAN
Q9BR61;HUMAN
Q8N6N7;HUMAN
Q96GR2;HUMAN
Q5FVE4;HUMAN
P07108;HUMAN
Q6JQN1;HUMAN
Q709F0;HUMAN
P45954;HUMAN
Q96AP0;HUMAN
Q9BYF1;HUMAN
Q8TDN7;HUMAN
Q9NUN7;HUMAN
Q5QJU3;HUMAN
P22303;HUMAN
P12821;HUMAN
Q9GZZ6;HUMAN
Q15822;HUMAN
P32297;HUMAN
P43681;HUMAN
P30532;HUMAN
Q15825;HUMAN
P36544;HUMAN
Q9UGM1;HUMAN
P02708;HUMAN
Q05901;HUMAN
P17787;HUMAN
P30926;HUMAN
P11230;HUMAN
Q07001;HUMAN
Q04844;HUMAN
P07510;HUMAN
Q07912;HUMAN
Q9UKV3;HUMAN
Q16570;HUMAN
O00590;HUMAN
P25106;HUMAN
Q9NPB9;HUMAN
Q5JWF8;HUMAN
O96019;HUMAN
O94805;HUMAN
Q9Y615;HUMAN
Q9Y614;HUMAN
P53396;HUMAN
P11229;HUMAN
P08172;HUMAN
P20309;HUMAN
P08173;HUMAN
P08912;HUMAN
Q8TDX5;HUMAN
Q9NRP4;HUMAN
Q8WXI4;HUMAN
Q8WYK0;HUMAN
Q9NPJ3;HUMAN
Q8N1Q8;HUMAN
P21399;HUMAN
O00767;HUMAN
Q99798;HUMAN
Q86TX2;HUMAN
P49753;HUMAN
Q8N9L9;HUMAN
Q3I5F7;HUMAN
O14734;HUMAN
Q9Y305;HUMAN
Q15067;HUMAN
Q99424;HUMAN
O15254;HUMAN
Q9NUZ1;HUMAN
P13798;HUMAN
Q8TE99;HUMAN
O14561;HUMAN
Q8NEB7;HUMAN
Q96QF7;HUMAN
P10323;HUMAN
Q08AH3;HUMAN
Q9NUB1;HUMAN
Q68CK6;HUMAN
Q9NR19;HUMAN
Q96CM8;HUMAN
Q4G176;HUMAN
Q4L235;HUMAN
P33121;HUMAN
O95573;HUMAN
O60488;HUMAN
Q9ULC5;HUMAN
Q9UKU0;HUMAN
Q53FZ2;HUMAN
Q08AH1;HUMAN
P0C7M7;HUMAN
Q6NUN0;HUMAN
Q6P461;HUMAN
Q9H6R3;HUMAN
P62736;HUMAN
Q562R1;HUMAN
Q9BYX7;HUMAN
P60709;HUMAN
P68032;HUMAN
P63261;HUMAN
Q01718;HUMAN
P63267;HUMAN
Q9H568;HUMAN
Q8TC94;HUMAN
P12814;HUMAN
P35609;HUMAN
Q08043;HUMAN
O43707;HUMAN
Q8TDG2;HUMAN
Q8TDY3;HUMAN
Q9BYD9;HUMAN
P68133;HUMAN
P42025;HUMAN
P61163;HUMAN
P36896;HUMAN
Q8NER5;HUMAN
P37023;HUMAN
Q04771;HUMAN
Q03154;HUMAN
P45381;HUMAN
Q96HD9;HUMAN
P07311;HUMAN
P14621;HUMAN
O14672;HUMAN
O75078;HUMAN
O43184;HUMAN
Q13444;HUMAN
P78536;HUMAN
Q9Y3Q7;HUMAN
Q9H013;HUMAN
P35348;HUMAN
P35368;HUMAN
P25100;HUMAN
Q9UKJ8;HUMAN
O43506;HUMAN
Q9P0K1;HUMAN
O75077;HUMAN
Q9UKQ2;HUMAN
Q9UKF5;HUMAN
P08913;HUMAN
P18089;HUMAN
P18825;HUMAN
Q9UKF2;HUMAN
Q8TC27;HUMAN
Q9BZ11;HUMAN
Q96M93;HUMAN
Q8NCV1;HUMAN
Q6DHV7;HUMAN
Q99965;HUMAN
Q6NVV9;HUMAN
Q9H2U9;HUMAN
Q13443;HUMAN
P78325;HUMAN
O75689;HUMAN
Q9NPF8;HUMAN
A8MUL3;HUMAN
O00116;HUMAN
Q9BUB4;HUMAN
Q7Z6V5;HUMAN
Q96EY9;HUMAN
P00813;HUMAN
Q86TW2;HUMAN
Q7Z695;HUMAN
Q8NI60;HUMAN
Q96D53;HUMAN
Q3MIX3;HUMAN
Q6P093;HUMAN
Q5VUY0;HUMAN
Q5VUY2;HUMAN
Q08828;HUMAN
Q08462;HUMAN
O60266;HUMAN
Q8NFM4;HUMAN
O95622;HUMAN
O43306;HUMAN
P51828;HUMAN
P40145;HUMAN
O60503;HUMAN
Q96PN6;HUMAN
Q96A70;HUMAN
P35611;HUMAN
P35612;HUMAN
Q9UEY8;HUMAN
O15204;HUMAN
Q8N7X0;HUMAN
P07327;HUMAN
P00325;HUMAN
P00326;HUMAN
P08319;HUMAN
P28332;HUMAN
P40394;HUMAN
P11766;HUMAN
Q0VDE8;HUMAN
Q9Y2D8;HUMAN
Q15847;HUMAN
Q15848;HUMAN
P55263;HUMAN
Q7Z4H4;HUMAN
C9JUS6;HUMAN
P35318;HUMAN
Q9H2P0;HUMAN
Q6IQ32;HUMAN
Q06278;HUMAN
Q9BRR6;HUMAN
Q9NRN7;HUMAN
P54922;HUMAN
Q3LIE5;HUMAN
Q96A54;HUMAN
Q86V24;HUMAN
P08588;HUMAN
P07550;HUMAN
P13945;HUMAN
Q16186;HUMAN
P22570;HUMAN
Q9Y6U3;HUMAN
P12235;HUMAN
P05141;HUMAN
Q9H0C2;HUMAN
P12236;HUMAN
Q96IZ2;HUMAN
Q6P4F2;HUMAN
P10109;HUMAN
Q8IUX7;HUMAN
Q6ZN18;HUMAN
Q96SZ5;HUMAN
Q6UXC1;HUMAN
Q8WTP8;HUMAN
Q08117;HUMAN
P55198;HUMAN
Q8TED9;HUMAN
P55197;HUMAN
Q8N4X5;HUMAN
Q13015;HUMAN
P42568;HUMAN
P55196;HUMAN
P43652;HUMAN
Q8N556;HUMAN
P51825;HUMAN
P51816;HUMAN
P51826;HUMAN
Q9UHB7;HUMAN
Q9Y4W6;HUMAN
Q6ULP2;HUMAN
Q5I7T1;HUMAN
C9J202;HUMAN
Q5BKT4;HUMAN
Q5T2P9;HUMAN
Q8TF27;HUMAN
P06280;HUMAN
Q9UPQ3;HUMAN
Q99490;HUMAN
Q96P47;HUMAN
Q96P64;HUMAN
A6NIR3;HUMAN
Q5VW22;HUMAN
Q5VUJ5;HUMAN
Q5SRD3;HUMAN
Q5VTM2;HUMAN
P52594;HUMAN
O95081;HUMAN
Q8N302;HUMAN
Q9H0P7;HUMAN
Q53H12;HUMAN
O95394;HUMAN
Q9UL18;HUMAN
Q9UKV8;HUMAN
Q9H9G7;HUMAN
Q9HCK5;HUMAN
O95994;HUMAN
Q8TD06;HUMAN
O00468;HUMAN
O00253;HUMAN
Q9BXM8;HUMAN
Q9BYV1;HUMAN
P30556;HUMAN
P50052;HUMAN
Q5TGY3;HUMAN
Q8N157;HUMAN
Q8IVF2;HUMAN
Q09666;HUMAN
A9YTQ3;HUMAN
P35869;HUMAN
O95433;HUMAN
Q719I0;HUMAN
Q9NZD4;HUMAN
Q9GZX7;HUMAN
Q96BJ3;HUMAN
Q9BQI0;HUMAN
P55008;HUMAN
Q9BRQ8;HUMAN
O95831;HUMAN
Q96NN9;HUMAN
Q9NVV5;HUMAN
Q8N1P7;HUMAN
Q9Y4K1;HUMAN
O14862;HUMAN
Q12904;HUMAN
Q13155;HUMAN
Q16352;HUMAN
Q9NZN9;HUMAN
O00170;HUMAN
O43918;HUMAN
Q9UKB5;HUMAN
Q96IF1;HUMAN
Q02040;HUMAN
P14550;HUMAN
C9JRZ8;HUMAN
O60218;HUMAN
Q04828;HUMAN
P52895;HUMAN
P42330;HUMAN
P17516;HUMAN
P51857;HUMAN
O43572;HUMAN
Q9UKA4;HUMAN
Q02952;HUMAN
Q86UN6;HUMAN
O43687;HUMAN
Q9P0M2;HUMAN
Q92667;HUMAN
Q9Y2D5;HUMAN
O75969;HUMAN
Q5JQC9;HUMAN
P24588;HUMAN
Q13023;HUMAN
O43823;HUMAN
Q99996;HUMAN
Q5T2L2;HUMAN
Q96JD6;HUMAN
Q495B1;HUMAN
A6NHY2;HUMAN
Q9P2G1;HUMAN
Q9NQ31;HUMAN
Q9NWT8;HUMAN
Q9H9L7;HUMAN
Q53H80;HUMAN
Q7Z591;HUMAN
Q5T1N1;HUMAN
Q12802;HUMAN
Q9ULX6;HUMAN
P31749;HUMAN
P31751;HUMAN
Q9Y243;HUMAN
Q9H8T0;HUMAN
Q96B36;HUMAN
Q8N8R7;HUMAN
P00352;HUMAN
O94788;HUMAN
P47895;HUMAN
P30837;HUMAN
O75891;HUMAN
Q3SY69;HUMAN
Q60I27;HUMAN
Q53TS8;HUMAN
Q96Q35;HUMAN
P30838;HUMAN
P51648;HUMAN
P43353;HUMAN
P48448;HUMAN
P30038;HUMAN
P20292;HUMAN
P49419;HUMAN
Q9H2A2;HUMAN
P49189;HUMAN
P24298;HUMAN
Q8TD30;HUMAN
P02768;HUMAN
P05091;HUMAN
P04075;HUMAN
P05062;HUMAN
P09972;HUMAN
P15121;HUMAN
P84996;HUMAN
Q2TAA5;HUMAN
Q9BV10;HUMAN
Q9NP73;HUMAN
Q96F25;HUMAN
Q6GMV1;HUMAN
Q9BT22;HUMAN
Q9H553;HUMAN
Q92685;HUMAN
Q9Y673;HUMAN
Q9Y672;HUMAN
Q9BVK2;HUMAN
Q9H6U8;HUMAN
Q13686;HUMAN
Q6NS38;HUMAN
Q96Q83;HUMAN
Q9NXW9;HUMAN
Q6P6C2;HUMAN
Q3KRA9;HUMAN
Q9BT30;HUMAN
Q96BT7;HUMAN
Q6ZNB7;HUMAN
Q9UM73;HUMAN
Q8N6M5;HUMAN
Q96L16;HUMAN
Q8TCU4;HUMAN
Q96QP1;HUMAN
Q86TB3;HUMAN
Q96L96;HUMAN
P55789;HUMAN
Q96Q42;HUMAN
P35858;HUMAN
Q15699;HUMAN
O95076;HUMAN
Q9H161;HUMAN
Q9UHK6;HUMAN
Q9NP70;HUMAN
P02760;HUMAN
P19021;HUMAN
Q99217;HUMAN
Q99218;HUMAN
Q5JTC6;HUMAN
Q8N7J2;HUMAN
Q8N944;HUMAN
Q6DCA0;HUMAN
Q9UKV5;HUMAN
Q86WK6;HUMAN
Q86SJ2;HUMAN
Q86WK7;HUMAN
Q16671;HUMAN
Q9Y4X0;HUMAN
Q8IY45;HUMAN
Q9BXJ7;HUMAN
Q8IY63;HUMAN
Q9Y2J4;HUMAN
Q4VCS5;HUMAN
Q9H4A4;HUMAN
P23109;HUMAN
Q01433;HUMAN
Q01432;HUMAN
Q07075;HUMAN
P49418;HUMAN
P28838;HUMAN
P15144;HUMAN
Q8N6M6;HUMAN
Q6Q4G3;HUMAN
Q9C0C7;HUMAN
P30533;HUMAN
Q6UX39;HUMAN
P04745;HUMAN
P19961;HUMAN
P04746;HUMAN
Q400G9;HUMAN
Q86W34;HUMAN
Q8IZ07;HUMAN
Q86YJ7;HUMAN
Q8N6S4;HUMAN
Q6ZTN6;HUMAN
Q8IVF6;HUMAN
A2A2Z9;HUMAN
Q5CZ79;HUMAN
Q9BXX2;HUMAN
Q9BXX3;HUMAN
P39687;HUMAN
Q92688;HUMAN
O43423;HUMAN
O95626;HUMAN
Q9BTT0;HUMAN
A6NCL7;HUMAN
Q69YU3;HUMAN
A5PLL1;HUMAN
P0C6C1;HUMAN
A6QL64;HUMAN
Q8N2N9;HUMAN
Q5JPF3;HUMAN
P54802;HUMAN
Q9UJX6;HUMAN
P10275;HUMAN
P16860;HUMAN
P23582;HUMAN
Q9P2R3;HUMAN
P01160;HUMAN
Q9UNK9;HUMAN
Q5VTE6;HUMAN
P03950;HUMAN
O95841;HUMAN
Q9UKU9;HUMAN
Q9BY76;HUMAN
Q9Y5C1;HUMAN
Q86XS5;HUMAN
Q8NI99;HUMAN
O43827;HUMAN
Q15389;HUMAN
O15123;HUMAN
Q9Y264;HUMAN
E9PGG2;HUMAN
P01019;HUMAN
P16157;HUMAN
Q12955;HUMAN
Q01484;HUMAN
Q7Z5J8;HUMAN
Q9NU02;HUMAN
Q8N957;HUMAN
Q8IWZ3;HUMAN
Q9HCJ1;HUMAN
Q8NFD2;HUMAN
Q8NAG6;HUMAN
Q86XL3;HUMAN
Q15327;HUMAN
Q9GZV1;HUMAN
Q92527;HUMAN
Q96BM1;HUMAN
Q6ZW76;HUMAN
Q9Y2G4;HUMAN
Q68DC2;HUMAN
A6NFN9;HUMAN
Q9P2S6;HUMAN
Q8IV38;HUMAN
Q9H8Y5;HUMAN
Q9NQW6;HUMAN
Q6P2P2;HUMAN
Q99873;HUMAN
P55345;HUMAN
O60678;HUMAN
O14744;HUMAN
Q96LA8;HUMAN
Q9NVM4;HUMAN
Q9NR22;HUMAN
Q9NW15;HUMAN
Q5XXA6;HUMAN
Q9NQ90;HUMAN
Q9BYT9;HUMAN
Q32M45;HUMAN
Q4KMQ2;HUMAN
Q75V66;HUMAN
Q6IWH7;HUMAN
Q9HCE9;HUMAN
A1A5B4;HUMAN
P16066;HUMAN
P20594;HUMAN
P17342;HUMAN
Q9NXR5;HUMAN
Q6P6B7;HUMAN
Q6UB99;HUMAN
Q6UB98;HUMAN
O75179;HUMAN
Q9H560;HUMAN
Q5VYY1;HUMAN
Q86SG2;HUMAN
Q8TF21;HUMAN
Q9UPS8;HUMAN
Q96NW4;HUMAN
O15084;HUMAN
Q8N6D5;HUMAN
Q8N7Z5;HUMAN
Q9BQI6;HUMAN
Q7Z3H0;HUMAN
Q8N283;HUMAN
Q7Z713;HUMAN
Q53RE8;HUMAN
Q6AI12;HUMAN
Q8N9B4;HUMAN
Q8N8A2;HUMAN
Q5TZF3;HUMAN
Q86W74;HUMAN
Q8WVL7;HUMAN
Q9ULJ7;HUMAN
Q8NB46;HUMAN
Q8N9V6;HUMAN
Q6NXT1;HUMAN
Q3KP44;HUMAN
Q9BZ19;HUMAN
A6NGH8;HUMAN
C9JTQ0;HUMAN
A6NC57;HUMAN
B4E2M5;HUMAN
E5RJM6;HUMAN
Q9H9E1;HUMAN
P61109;HUMAN
Q7Z6G8;HUMAN
Q92625;HUMAN
Q8N8V4;HUMAN
P01008;HUMAN
Q9H6X2;HUMAN
P58335;HUMAN
A6NF34;HUMAN
Q9UJ72;HUMAN
P50995;HUMAN
P27216;HUMAN
P04083;HUMAN
P07355;HUMAN
P12429;HUMAN
P09525;HUMAN
P08758;HUMAN
P08133;HUMAN
P20073;HUMAN
P13928;HUMAN
O76027;HUMAN
P28039;HUMAN
P19801;HUMAN
O75106;HUMAN
Q16853;HUMAN
P21397;HUMAN
P27338;HUMAN
O60641;HUMAN
Q63HQ0;HUMAN
Q10567;HUMAN
O43747;HUMAN
O75843;HUMAN
Q9BXS5;HUMAN
Q9Y6Q5;HUMAN
P61966;HUMAN
Q96PC3;HUMAN
P56377;HUMAN
O95782;HUMAN
O94973;HUMAN
P05549;HUMAN
P63010;HUMAN
Q92481;HUMAN
Q92754;HUMAN
Q7Z6R9;HUMAN
Q6VUC0;HUMAN
Q96CW1;HUMAN
P53680;HUMAN
O00203;HUMAN
Q13367;HUMAN
O14617;HUMAN
Q9Y2T2;HUMAN
P53677;HUMAN
Q92572;HUMAN
P59780;HUMAN
Q96N21;HUMAN
P50583;HUMAN
Q9UPM8;HUMAN
Q9Y6B7;HUMAN
O00189;HUMAN
Q9Y587;HUMAN
Q2VPB7;HUMAN
Q9H0R1;HUMAN
Q9NUS5;HUMAN
O43299;HUMAN
O14727;HUMAN
Q02410;HUMAN
Q99767;HUMAN
O96018;HUMAN
Q92870;HUMAN
O00213;HUMAN
O95704;HUMAN
Q92624;HUMAN
Q9UM13;HUMAN
Q9NYG5;HUMAN
Q9BS18;HUMAN
P60006;HUMAN
Q96DE5;HUMAN
Q9H1A4;HUMAN
O95996;HUMAN
Q9UJX5;HUMAN
Q9UJX4;HUMAN
Q9UJX3;HUMAN
Q8J025;HUMAN
Q8NCL9;HUMAN
P25054;HUMAN
Q9ULZ1;HUMAN
P27695;HUMAN
Q9UBZ4;HUMAN
Q96BI3;HUMAN
Q8WW43;HUMAN
Q9BZZ5;HUMAN
P35414;HUMAN
Q96LR9;HUMAN
Q8IW19;HUMAN
P51693;HUMAN
Q06481;HUMAN
Q9HDC9;HUMAN
P02647;HUMAN
P02652;HUMAN
P06727;HUMAN
Q6Q788;HUMAN
P08519;HUMAN
Q0VD83;HUMAN
P04114;HUMAN
P02654;HUMAN
P02655;HUMAN
P02656;HUMAN
P55056;HUMAN
P05090;HUMAN
P02649;HUMAN
Q13790;HUMAN
P02749;HUMAN
Q9BQE5;HUMAN
O95236;HUMAN
Q9BPW4;HUMAN
O14791;HUMAN
Q9BWW9;HUMAN
Q9BWW8;HUMAN
O95445;HUMAN
Q6UXV4;HUMAN
Q9BUR5;HUMAN
Q96IL0;HUMAN
Q8IVJ8;HUMAN
F7VJQ1;HUMAN
Q53RT3;HUMAN
Q13794;HUMAN
Q7Z2E3;HUMAN
P07741;HUMAN
Q8IXF9;HUMAN
A6NM10;HUMAN
Q96PS8;HUMAN
Q8NBQ7;HUMAN
P29972;HUMAN
P41181;HUMAN
Q92482;HUMAN
P55087;HUMAN
P55064;HUMAN
Q13520;HUMAN
A6NL99;HUMAN
O14520;HUMAN
O94778;HUMAN
O43315;HUMAN
O60306;HUMAN
Q5H913;HUMAN
Q3SXY8;HUMAN
Q6NSI1;HUMAN
A8MYR8;HUMAN
Q9Y2Y0;HUMAN
Q15041;HUMAN
Q66PJ3;HUMAN
Q8N6S5;HUMAN
P10398;HUMAN
Q6UW56;HUMAN
Q8WZ64;HUMAN
Q96P48;HUMAN
Q8WWN8;HUMAN
Q96IT6;HUMAN
P25098;HUMAN
P35626;HUMAN
Q92747;HUMAN
O15143;HUMAN
Q8IWT0;HUMAN
Q7LC44;HUMAN
P15514;HUMAN
O15033;HUMAN
P84077;HUMAN
P61204;HUMAN
P18085;HUMAN
P84085;HUMAN
P62330;HUMAN
Q8N6H7;HUMAN
Q8N6T3;HUMAN
Q9NP61;HUMAN
P53367;HUMAN
P53365;HUMAN
Q13795;HUMAN
Q8N1W1;HUMAN
A8MVX0;HUMAN
A5YM69;HUMAN
Q8N4T4;HUMAN
Q9HCE6;HUMAN
A6NJG6;HUMAN
P05089;HUMAN
P78540;HUMAN
Q9NWB6;HUMAN
A1IGU5;HUMAN
Q9NXL2;HUMAN
Q8TER5;HUMAN
Q92888;HUMAN
Q92974;HUMAN
Q9NR81;HUMAN
Q9NR80;HUMAN
Q15052;HUMAN
Q12774;HUMAN
Q14155;HUMAN
Q7Z628;HUMAN
O43307;HUMAN
O15013;HUMAN
O15085;HUMAN
Q9NZN5;HUMAN
O94989;HUMAN
Q96PE2;HUMAN
Q5VV41;HUMAN
Q6ZSZ5;HUMAN
Q8IW93;HUMAN
Q86VW2;HUMAN
Q96DR7;HUMAN
Q8NDY3;HUMAN
Q9NX46;HUMAN
Q8NFD5;HUMAN
O14497;HUMAN
Q5SW96;HUMAN
Q9Y4X5;HUMAN
Q8N7S6;HUMAN
O95376;HUMAN
Q99856;HUMAN
Q8IVW6;HUMAN
A6NKF2;HUMAN
P29374;HUMAN
Q4LE39;HUMAN
Q03989;HUMAN
Q14865;HUMAN
Q68CP9;HUMAN
Q9Y4B4;HUMAN
O95154;HUMAN
O43488;HUMAN
Q8NHP1;HUMAN
Q8N8L6;HUMAN
Q969Q4;HUMAN
Q8N4G2;HUMAN
Q9NXU5;HUMAN
Q0P5N6;HUMAN
Q8IVW1;HUMAN
P40616;HUMAN
P36404;HUMAN
P36405;HUMAN
P40617;HUMAN
P56559;HUMAN
P49703;HUMAN
Q9Y689;HUMAN
Q96KC2;HUMAN
A6NH57;HUMAN
Q9H0F7;HUMAN
Q96BM9;HUMAN
Q9NVJ2;HUMAN
Q6T311;HUMAN
P04424;HUMAN
Q8N2F6;HUMAN
Q9NVT9;HUMAN
Q5T9G4;HUMAN
Q8NEN0;HUMAN
Q5W041;HUMAN
Q96C12;HUMAN
Q5T2S8;HUMAN
Q6NXE6;HUMAN
Q9H6L4;HUMAN
Q8IUR7;HUMAN
Q7Z3E5;HUMAN
P0C7Q2;HUMAN
Q9P291;HUMAN
Q7L311;HUMAN
Q9UH62;HUMAN
Q5H9R4;HUMAN
Q6P1M9;HUMAN
Q7L4S7;HUMAN
Q9HBZ2;HUMAN
P27540;HUMAN
Q86WX3;HUMAN
Q9NZ32;HUMAN
P56211;HUMAN
Q9UBL0;HUMAN
P61160;HUMAN
Q9P1U1;HUMAN
Q9C0K3;HUMAN
P61158;HUMAN
Q9BPX5;HUMAN
Q9H9F9;HUMAN
Q9GZN1;HUMAN
Q9H981;HUMAN
O15144;HUMAN
O15145;HUMAN
P59998;HUMAN
O15511;HUMAN
Q7Z6K5;HUMAN
P49407;HUMAN
P32121;HUMAN
P36575;HUMAN
Q8N5I2;HUMAN
Q8TBH0;HUMAN
Q96B67;HUMAN
Q8NCT1;HUMAN
A6NEK1;HUMAN
P10523;HUMAN
P15289;HUMAN
P15848;HUMAN
P51689;HUMAN
P54793;HUMAN
Q96EG1;HUMAN
P51690;HUMAN
Q5FYA8;HUMAN
Q5FYB1;HUMAN
Q5FYB0;HUMAN
Q6UWY0;HUMAN
Q5T4W7;HUMAN
Q9H2C2;HUMAN
O00192;HUMAN
P18440;HUMAN
Q96QS3;HUMAN
P11245;HUMAN
Q9HBK9;HUMAN
P0C7U1;HUMAN
P0C7U2;HUMAN
Q9NR71;HUMAN
Q13510;HUMAN
O43150;HUMAN
Q9ULH1;HUMAN
Q8TDY4;HUMAN
Q495Z4;HUMAN
Q8WXI3;HUMAN
Q8WXK4;HUMAN
